ewg_id,name,state,population_served
15,RACER Coldwater Road Landfill15,"Flint, Michigan",NA
19,Amherst19,"Amherst, New Hampshire",NA
21,Litchfield21,"Litchfield, New Hampshire",NA
22,Bedford22,"Bedford, New Hampshire",NA
26,Paulsboro26,"Paulsboro, New Jersey",NA
36,North Bennington36,"North Bennington, Vermont",NA
37,Pownal37,"Pownal, Vermont",NA
45,Deepwater45,"Deepwater, New Jersey",NA
52,Richmond52,"Richmond, Virginia",NA
53,Fairbanks International Airport/Regional Fire Training Center53,"Fairbanks, Alaska",NA
59,Algoma Township59,"Algoma Township, Michigan",NA
61,Alpena61,"Alpena County, Michigan",NA
62,Bennington/North Bennington62,"Bennington/North Bennington, Vermont",NA
64,Greenland64,"Hampton/North Hampton, New Hampshire",NA
65,Windham65,"Windham, New Hampshire",NA
70,Wrightsville Beach70,"Wrightsville Beach, North Carolina",NA
71,Westchester County Airport71,"Westchester County, New York",NA
72,Suffolk County Firematics Training Facility72,"Yaphank, New York",NA
73,East Hampton Airport73,"East Hampton, New York",NA
75,Hampton Bays Fire Station75,"Hampton Bays, New York",NA
78,Houlton International Airport78,"Houlton, Maine",NA
79,Blades79,"Blades, Delaware",NA
83,Lansing83,"Lansing, Michigan",NA
84,Lapeer84,"Lapeer, Michigan",NA
86,Mt. Pleasant86,"Mt. Pleasant, Michigan",NA
87,Huron Shores Regional Water Authority87,"Tawas, Michigan",NA
88,Saginaw-Midland Municipal Water Supply Company88,"Au Gres, Michigan",NA
90,Tyco-Ansul Fire Technology Center90,"Peshtigo, Wisconsin",NA
91,Durham91,"Durham, North Carolina",NA
93,Little Hocking Water Association93,"Washington County, Athens Coun, Ohio",NA
94,Rutland Regional Airport Business Park94,"Clarendon, Vermont",NA
190,Gustavus Airport190,"Gustavus, Alaska",NA
191,Marana Water191,"Pima County, Arizona",NA
192,Sugarloaf Fire Department192,"Sugarloaf, Colorado",NA
194,Satellite Beach194,"Brevard County, Florida",NA
196,Florida State Fire College196,"Ocala, Florida",NA
200,RACER Buick City Site200,"Flint, Michigan",NA
201,Wixom201,"Wixom, Michigan",NA
202,Cascade Township202,"Cascade Township, Michigan",NA
208,Blair Township208,"Blair Township, Michigan",NA
216,Upper Dublin Township216,"Upper Dublin Township, Pennsylvania",NA
217,East Rockhill & West Rockhill217,"East Rockhill & West Rockhill, Pennsylvania",NA
219,NA,",",NA
341,CBJ Hagevig Fire Training Center341,"Juneau, Alaska",NA
344,City of Kenai Airport344,"Kenai, Alaska",NA
446,South Florida State College446,"Avon Park, Florida",NA
447,Pasco County Fire Rescue Training Center447,"Shady Hills, Florida",NA
448,Melbourne Fire Training Facility448,"Melbourne, Florida",NA
449,Lake Tech Fire Academy449,"Tavares, Florida",NA
450,Indian River State College Academy450,"Fort Pierce, Florida",NA
451,Hillsborough Community College451,"Tampa, Florida",NA
452,Englewood Fire Training Center452,"Englewood, Florida",NA
453,Citrus Sheriff Fire Training Center453,"Lecanto, Florida",NA
454,Chipola College Annex454,"Marianna, Florida",NA
455,Bonita Springs Fire Control Rescue District Station455,"Bonita Springs, Florida",NA
485,The Chemours Company - Fayetteville Works485,"Fayetteville, North Carolina",NA
486,Private drinking water wells486,"Fayetteville, North Carolina",NA